table,key,column,problem
combo_lines,SIL-RTV1-LIQ·NA#1,resolves_to,"type-code ""SI-NA"" -> no_series"
combo_lines,SIL-RTV1-LIQ·APAC#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-RTV2-LIQ·EU#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-RTV2-LIQ·CN#1,resolves_to,"type-code ""SI-CN"" -> no_series"
combo_lines,SIL-RTV2-LIQ·NA#1,resolves_to,"type-code ""SI-NA"" -> no_series"
combo_lines,SIL-SURF-LIQ·EU#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-SURF-LIQ·NA#1,resolves_to,"type-code ""SI-NA"" -> no_series"
combos,F23-VITD3-EU\u00b7CN,subfamily,"formula says ""Vitamins synthetic"", combo says ""Feed vitamins"" — used combo"
combos,F23-VITE-EU\u00b7CN,subfamily,"formula says ""Vitamins synthetic"", combo says ""Feed vitamins"" — used combo"
combos,BCI-MEOH-LIQ·EU,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C1 / Methanol chain"" — used combo"
combos,BCI-MEOH-LIQ·NA,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C1 / Methanol chain"" — used combo"
combos,BCI-MEOH-LIQ·CN,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C1 / Methanol chain"" — used combo"
combos,BCI-MEOH-LIQ·APAC,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C1 / Methanol chain"" — used combo"
combos,BCI-MEG-LIQ·EU,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C2 / Ethylene derivatives"" — used combo"
combos,BCI-MEG-LIQ·NA,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C2 / Ethylene derivatives"" — used combo"
combos,BCI-MEG-LIQ·CN,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C2 / Ethylene derivatives"" — used combo"
combos,BCI-MEG-LIQ·APAC,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C2 / Ethylene derivatives"" — used combo"
combos,BCI-FORM-LIQ·EU,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C1 / Methanol chain"" — used combo"
combos,BCI-FORM-LIQ·NA,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C1 / Methanol chain"" — used combo"
combos,BCI-FORM-LIQ·CN,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C1 / Methanol chain"" — used combo"
combos,BCI-FORM-LIQ·APAC,subfamily,"formula says ""Petrochemical building blocks"", combo says ""C1 / Methanol chain"" — used combo"
combo_lines,BCI-CAOH2-PWD·EU#1,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,BCI-CAOH2-PWD·NA#1,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,BCI-CAOH2-PWD·CN#1,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,BCI-CAOH2-PWD·IN#1,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,MIN-CACO3-PCC·EU#1,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,MIN-CACO3-PCC·NA#1,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,MIN-CACO3-PCC·CN#1,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,MIN-CACO3-PCC·IN#1,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,ACT-CARB-MIN·EU#1,resolves_to,"type-code ""COAL-AU"" -> no_series"
combo_lines,ACT-CARB-MIN·NA#1,resolves_to,"type-code ""COAL-AU"" -> no_series"
combo_lines,ACT-CARB-MIN·CN#1,resolves_to,"type-code ""COAL-AU"" -> no_series"
combo_lines,ACT-CARB-MIN·IN#1,resolves_to,"type-code ""COAL-AU"" -> no_series"
combo_lines,ACT-CARB-COCO·EU#1,resolves_to,"type-code ""COCO-WB"" -> no_series"
combo_lines,ACT-CARB-COCO·NA#1,resolves_to,"type-code ""COCO-WB"" -> no_series"
combo_lines,ACT-CARB-COCO·APAC#1,resolves_to,"type-code ""COCO-WB"" -> no_series"
combo_lines,ACT-CARB-COCO·IN#1,resolves_to,"type-code ""COCO-WB"" -> no_series"
combo_lines,SOL-ETAC-LIQ·NA#1,resolves_to,"type-code ""ETH-US-PPI"" -> no_series"
combo_lines,SOL-ETAC-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,SOL-BUAC-LIQ·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,SOL-BUAC-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-BENT-PWD·ACT·NA#1,resolves_to,"type-code ""NATGAS-US"" -> no_series"
combo_lines,MIN-BENT-PWD·ACT·NA#2,resolves_to,"type-code ""SODA-US"" -> no_series"
combo_lines,MIN-BENT-PWD·ACT·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-BENT-PWD·NAT·NA#1,resolves_to,"type-code ""NATGAS-US"" -> no_series"
combo_lines,MIN-BENT-PWD·NAT·NA#2,resolves_to,"type-code ""SODA-US"" -> no_series"
combo_lines,MIN-BENT-PWD·NAT·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-BARI-PWD·NA#1,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-KAO-PWD·NA#1,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-TALC-PWD·UNT·NA#1,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-TALC-PWD·TRT·NA#1,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-FSIL-PWD·NA#1,resolves_to,"type-code ""NATGAS-US"" -> no_series"
combo_lines,MIN-FSIL-PWD·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,RES-PA66-PEL·NA#1,resolves_to,"type-code ""AROM-US"" -> no_series"
combo_lines,RES-PA66-PEL·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,POL-PEG-LIQ·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,POL-PEG-LIQ·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,CLN-NACLO3-LIQ·NA#1,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,CLN-NACLO3-LIQ·NA#2,resolves_to,"type-code ""SALT-US"" -> no_series"
combo_lines,FAT-STEA-PWD·NA#1,resolves_to,"type-code ""FA-US"" -> no_series"
combo_lines,FAT-STEA-PWD·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,FAT-ZNST-PWD·NA#1,resolves_to,"type-code ""FA-US"" -> no_series"
combo_lines,FAT-ZNST-PWD·NA#2,resolves_to,"type-code ""ZINC-GL"" -> no_series"
